SubscriptionAge,BillAvg,ReaminingContract,Churn,HasTvOrMoviePack
long,high,yes,0,1
long,low,no,1,0
long,low,no,1,1
long,high,no,1,0
long,low,no,1,0
long,high,yes,0,1
long,low,no,1,0
long,low,no,1,0
long,low,no,1,0
long,low,no,1,0
long,low,no,1,1
long,low,yes,0,1
long,low,no,1,0
long,low,no,1,0
long,high,yes,1,0
long,low,yes,0,1
long,high,yes,0,1
long,high,no,1,0
long,low,no,1,0
long,high,yes,0,1
long,low,no,1,0
long,high,no,0,1
long,low,no,1,0
long,high,no,0,0
long,low,no,1,0
long,high,no,0,0
long,low,no,1,0
long,low,no,1,0
long,low,no,1,0
long,high,no,1,1
long,low,no,1,0
long,high,no,1,0
long,low,no,1,0
long,high,no,1,0
long,high,no,1,0
long,high,no,1,0
long,low,no,1,0
long,low,no,1,0
long,high,yes,0,1
long,low,no,1,0
long,high,no,1,1
long,low,no,1,0
long,high,no,1,1
long,low,no,1,0
long,low,yes,0,1
long,low,no,1,0
long,low,no,1,1
long,low,no,1,0
long,low,no,1,0
long,high,no,1,1
long,low,no,1,0
long,high,yes,0,1
long,high,no,0,0
long,high,no,0,1
long,high,no,0,1
long,low,no,1,0
long,low,no,1,1
long,low,no,1,0
long,low,yes,0,1
long,low,no,1,0
long,low,yes,1,1
long,low,no,1,0
long,low,no,1,0
long,high,no,0,0
long,low,no,1,0
long,high,no,1,0
long,low,no,1,0
long,low,no,1,1
long,low,yes,0,1
long,high,yes,0,1
long,low,yes,0,1
long,low,no,1,0
long,high,yes,0,1
long,high,no,1,0
long,low,no,1,0
long,low,no,1,0
long,low,no,1,0
long,high,no,0,0
long,low,no,1,1
long,low,no,1,0
long,low,no,1,1
long,low,no,1,0
long,low,no,1,0
long,high,yes,0,0
long,high,no,0,0
long,high,no,0,0
long,high,yes,0,1
long,high,no,1,1
long,high,no,0,1
long,high,no,1,1
long,high,no,1,0
long,low,no,1,1
long,low,yes,0,1
long,low,no,1,0
long,high,no,1,0
long,low,yes,0,1
long,high,no,1,0
long,low,no,1,0
long,high,yes,0,1
long,high,no,1,1
long,low,no,1,1
long,high,no,0,0
long,low,no,1,1
long,high,no,1,0
long,low,no,1,1
long,low,no,1,0
long,low,no,1,0
long,high,no,1,0
long,low,no,1,0
long,low,no,1,0
long,low,no,1,0
long,low,no,1,0
long,low,no,1,0
long,high,yes,0,1
long,high,no,1,1
long,high,no,1,1
long,high,no,1,1
long,low,no,1,0
long,low,no,1,1
long,low,no,1,0
long,low,no,1,0
long,high,yes,0,1
long,low,no,1,1
long,low,no,1,1
long,low,no,1,0
long,low,no,1,0
long,high,yes,0,1
long,low,no,1,0
long,low,yes,0,1
long,high,no,1,1
long,low,no,1,0
long,high,yes,0,1
long,high,no,0,0
long,high,no,1,1
long,low,no,1,0
long,high,no,0,1
long,high,yes,0,1
long,high,no,0,0
long,low,no,1,0
long,low,no,1,0
long,high,no,1,1
long,high,no,1,0
long,low,no,1,1
long,low,yes,0,1
long,low,no,1,1
long,high,yes,0,1
long,low,no,1,0
long,high,no,1,1
long,low,no,1,0
long,low,no,1,1
long,low,yes,0,1
long,low,no,1,0
long,low,no,1,0
long,high,no,1,1
long,low,no,1,1
long,low,no,1,0
long,low,no,1,0
long,high,no,1,0
long,low,no,1,0
long,low,no,1,0
long,low,yes,0,1
long,high,yes,1,0
long,low,no,1,1
long,high,yes,0,1
long,low,no,1,0
long,low,no,1,0
long,high,no,1,1
long,low,no,1,0
long,high,yes,0,1
long,low,no,1,0
long,low,no,1,0
long,low,no,1,0
long,low,no,1,0
long,low,no,1,0
long,low,no,1,0
long,low,no,1,0
long,low,no,1,0
long,low,no,1,0
long,low,no,1,0
long,high,no,1,1
long,low,no,1,1
long,low,no,1,0
long,low,no,1,0
long,high,no,1,0
long,low,no,1,1
long,low,no,1,0
long,low,no,1,1
long,low,no,1,0
long,high,no,1,1
long,low,no,1,1
long,low,no,1,0
long,low,yes,0,1
long,low,no,1,0
long,low,no,1,0
long,low,no,1,1
long,low,no,1,0
long,low,no,1,0
long,low,no,1,0
long,low,no,1,0
long,low,no,1,1
long,low,no,1,0
long,low,no,1,0
long,low,no,1,0
long,low,no,1,0
long,low,no,1,0
long,low,no,1,0
long,low,no,1,0
long,high,no,0,0
long,low,no,1,0
long,low,no,1,0
long,high,no,1,1
long,low,no,1,0
long,low,yes,0,1
long,high,no,1,1
long,high,yes,0,1
long,low,no,1,0
long,low,no,1,0
long,high,no,1,1
long,low,no,1,0
long,low,no,1,0
long,low,no,1,0
long,low,no,1,0
long,low,no,1,1
long,low,no,1,0
long,low,no,1,1
long,low,no,1,1
long,low,no,1,0
long,low,no,1,0
long,high,no,0,1
long,low,no,1,1
long,low,no,1,1
long,high,no,0,1
long,low,no,1,0
long,low,no,1,1
long,high,no,0,1
long,high,no,0,1
long,high,yes,0,1
long,low,no,1,0
long,low,no,1,1
long,low,yes,0,1
long,high,no,0,0
long,low,no,1,0
long,low,no,1,0
long,high,no,1,0
long,high,no,1,1
long,low,no,1,0
long,high,no,1,1
long,low,no,1,1
long,high,no,1,1
long,high,no,0,1
long,high,yes,0,1
long,high,no,1,1
long,low,no,1,0
long,low,no,1,1
long,low,no,1,0
long,low,yes,0,1
long,high,no,1,0
long,high,yes,0,1
long,high,no,0,0
long,low,no,1,0
long,low,no,1,1
long,high,no,1,0
long,low,no,1,0
long,high,no,1,1
long,low,no,1,0
long,high,no,1,0
long,high,no,1,1
long,high,yes,0,1
long,low,yes,1,1
long,high,no,1,0
long,low,no,1,1
long,low,yes,0,1
long,low,yes,1,0
long,low,no,1,0
long,low,no,1,1
long,high,yes,0,1
long,low,yes,0,1
long,low,no,1,0
long,low,no,1,0
long,high,yes,0,1
long,low,no,1,0
long,high,no,1,0
long,high,yes,0,0
long,high,no,1,1
long,high,yes,0,1
long,low,no,1,0
long,high,no,1,1
long,low,no,1,0
long,low,no,1,1
long,low,no,1,1
long,low,no,1,1
long,high,no,1,1
long,low,no,1,0
long,low,no,1,0
long,high,no,1,0
long,low,no,1,1
long,high,yes,0,1
long,high,no,1,1
long,low,no,1,0
long,low,no,1,0
long,high,no,1,1
