Gender,Partner,Dependents,Tenure,PhoneService,MultipleLines,InternetService,Contract,MonthlyCharges,Churn,HasStreaming
Female,Yes,No,1,No,No,DSL,Month-to-month,low,No,No
Male,No,No,34,Yes,No,DSL,One year,low,No,No
Male,No,No,2,Yes,No,DSL,Month-to-month,low,Yes,No
Male,No,No,45,No,No,DSL,One year,low,No,No
Female,No,No,2,Yes,No,Fiber optic,Month-to-month,high,Yes,No
Female,No,No,8,Yes,Yes,Fiber optic,Month-to-month,high,Yes,Yes
Male,No,Yes,22,Yes,Yes,Fiber optic,Month-to-month,high,No,Yes
Female,No,No,10,No,No,DSL,Month-to-month,low,No,No
Female,Yes,No,28,Yes,Yes,Fiber optic,Month-to-month,high,Yes,Yes
Male,No,Yes,62,Yes,No,DSL,One year,low,No,No
Male,Yes,Yes,13,Yes,No,DSL,Month-to-month,low,No,No
Male,No,No,16,Yes,No,No,Two year,low,No,No
Male,Yes,No,58,Yes,Yes,Fiber optic,One year,high,No,Yes
Male,No,No,49,Yes,Yes,Fiber optic,Month-to-month,high,Yes,Yes
Male,No,No,25,Yes,No,Fiber optic,Month-to-month,high,No,Yes
Female,Yes,Yes,69,Yes,Yes,Fiber optic,Two year,high,No,Yes
Female,No,No,52,Yes,No,No,One year,low,No,No
Male,No,Yes,71,Yes,Yes,Fiber optic,Two year,high,No,Yes
Female,Yes,Yes,10,Yes,No,DSL,Month-to-month,low,Yes,No
Female,No,No,21,Yes,No,Fiber optic,Month-to-month,high,No,Yes
Male,No,No,1,No,No,DSL,Month-to-month,low,Yes,Yes
Male,Yes,No,12,Yes,No,No,One year,low,No,No
Male,No,No,1,Yes,No,No,Month-to-month,low,Yes,No
Female,Yes,No,58,Yes,Yes,DSL,Two year,low,No,No
Male,Yes,Yes,49,Yes,No,DSL,Month-to-month,low,No,No
Female,No,No,30,Yes,No,DSL,Month-to-month,low,No,No
Male,Yes,Yes,47,Yes,Yes,Fiber optic,Month-to-month,high,Yes,Yes
Male,Yes,Yes,1,No,No,DSL,Month-to-month,low,Yes,No
Male,Yes,No,72,Yes,Yes,DSL,Two year,high,No,Yes
Female,No,Yes,17,Yes,No,DSL,Month-to-month,high,Yes,Yes
Female,Yes,No,71,Yes,Yes,Fiber optic,Two year,high,No,No
Male,Yes,No,2,Yes,No,Fiber optic,Month-to-month,high,No,Yes
Female,Yes,Yes,27,Yes,No,DSL,One year,high,No,No
Male,No,No,1,Yes,No,No,Month-to-month,low,No,No
Male,No,No,1,Yes,No,DSL,Month-to-month,low,No,No
Female,Yes,Yes,72,Yes,Yes,Fiber optic,Two year,high,No,Yes
Male,No,No,5,Yes,No,Fiber optic,Month-to-month,high,Yes,No
Female,No,No,46,Yes,No,Fiber optic,Month-to-month,high,No,No
Male,No,No,34,Yes,Yes,Fiber optic,Month-to-month,high,Yes,Yes
Female,No,No,11,Yes,Yes,Fiber optic,Month-to-month,high,Yes,Yes
Male,Yes,Yes,10,Yes,No,DSL,One year,low,No,No
Female,Yes,Yes,70,Yes,Yes,DSL,Two year,high,No,Yes
Female,Yes,Yes,17,Yes,No,No,One year,low,No,No
Female,No,No,63,Yes,Yes,DSL,Two year,high,No,Yes
Female,Yes,No,13,Yes,Yes,DSL,Month-to-month,high,No,Yes
Female,No,No,49,Yes,Yes,Fiber optic,Month-to-month,high,No,Yes
Male,No,No,2,Yes,No,DSL,Month-to-month,low,No,No
Female,No,No,2,Yes,No,Fiber optic,Month-to-month,high,Yes,Yes
Male,No,No,52,Yes,Yes,DSL,Two year,high,No,Yes
Female,Yes,Yes,69,Yes,Yes,DSL,Two year,high,No,No
Female,No,No,43,Yes,Yes,Fiber optic,Month-to-month,high,No,Yes
Female,No,No,15,Yes,No,Fiber optic,Month-to-month,high,Yes,Yes
Female,Yes,No,25,Yes,Yes,DSL,Month-to-month,high,No,Yes
Female,Yes,No,8,Yes,Yes,Fiber optic,Month-to-month,high,Yes,No
Female,Yes,Yes,60,Yes,No,DSL,One year,high,No,Yes
